label,area,centroid-0,centroid-1,avi_mean,bira_mean,biotin_mean,bbox-0,bbox-1,bbox-2,bbox-3,avi_outside_mean,bira_outside_mean,biotin_outside_mean,sample,sample_short,biotin_ratio,avi_ratio,bira_ratio,condition
4,21887.0,90.10344039841002,412.6017270525883,156.93548681865948,1039.5510120162653,718.4965047745237,20,319,161,512,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,0.9955757319095011,1.35620735649513,0.999338533934642,"S1
(Negative)"
6,29263.0,379.68871954345076,748.0792810033148,166.53890578546287,1041.4258278372006,720.528653931586,251,671,508,827,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,0.9983915540755761,1.4391983212176802,1.0011408271095166,"S1
(Negative)"
8,33033.0,352.41446432355525,213.46692701238155,165.64768564768565,1039.580994762813,718.9109980928163,256,96,449,334,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,0.996150069412869,1.4314965621597897,0.9993673568722677,"S1
(Negative)"
9,23886.0,403.2725864523152,878.2420664824583,158.9778112702001,1042.435903876748,722.2758519634932,303,806,508,967,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,1.0008125372645658,1.3738567454362676,1.0021118308379109,"S1
(Negative)"
10,35596.0,452.1365321946286,506.86593999325765,159.60680975390494,1038.901814810653,718.9725250028093,307,415,588,586,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,0.9962353234092927,1.379292433616918,0.9987144493286996,"S1
(Negative)"
11,32735.0,580.657247594318,650.039224072094,160.133496257828,1041.493905605621,721.6708110585,467,559,687,760,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,0.9999741698712368,1.383843960653072,1.0012062714566436,"S1
(Negative)"
12,358.0,566.4944134078212,201.78212290502793,176.30167597765364,1029.1843575418995,727.5279329608938,557,191,576,214,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,1.008090017876216,1.5235663696611776,0.9893728880312954,"S1
(Negative)"
13,34327.0,662.2267602761674,245.17414862935883,172.79701109913478,1038.3404608617122,722.5592099513502,575,118,743,383,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,1.001205168730799,1.4932797060986553,0.9981748099787607,"S1
(Negative)"
14,19440.0,640.8119855967078,838.2940843621399,180.49994855967077,1041.2964506172839,723.8240226337449,577,738,723,935,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,1.002957740669056,1.5598470622930651,1.0010164545296416,"S1
(Negative)"
15,26634.0,747.6938124202147,761.6702710820755,159.62484042952616,1041.1665540286851,722.6133513554104,652,664,836,873,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,1.0012801890929242,1.3794482513699051,1.0008915826715867,"S1
(Negative)"
17,23760.0,786.4743686868687,349.676936026936,163.22925084175085,1039.3617003367003,719.1157407407408,721,232,863,471,115.71643972219009,1040.2390948773855,721.6894523899823,SampleSample1,S1,0.9964337685125946,1.4105968973261591,0.9991565453125095,"S1
(Negative)"
9,25166.0,100.6557657156481,454.2096479376937,711.8439163951363,1210.1659779066995,1577.8883811491696,40,319,161,587,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1084481567194606,1.4046376130642138,1.0205606693961378,"S2
(Ab control)"
10,21710.0,144.18641179180102,201.16729617687702,744.8935052970982,1213.4834638415477,1609.7754030400738,60,117,241,283,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1308484171311026,1.4698523246025177,1.023358381220955,"S2
(Ab control)"
12,24052.0,226.2497505404956,467.3553134874439,829.3457508731083,1222.4493597206053,1606.5492266755364,147,375,308,557,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1285820659194161,1.6364967222178404,1.0309195264416253,"S2
(Ab control)"
13,7839.0,206.67368286771273,914.1509121061359,704.7934685546626,1199.9071310116087,1441.1993876769995,156,858,281,966,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.0124257354454542,1.3907254000107845,1.0119091489885021,"S2
(Ab control)"
14,12100.0,283.4813223140496,870.024214876033,757.2681818181818,1236.3529752066115,1761.5960330578512,193,818,358,937,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.2375006363284016,1.4942705091099318,1.0426447636293121,"S2
(Ab control)"
17,7383.0,328.8860896654476,960.693891372071,814.0872274143302,1244.602465122579,1792.7822023567655,282,911,382,1017,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.2594085559807073,1.606388020750586,1.0496017473030552,"S2
(Ab control)"
18,8002.0,340.43464133966506,782.4911272181954,988.7253186703324,1270.2685578605349,1958.4141464633842,291,727,398,834,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.3757630619978765,1.9509905747685603,1.0712465507958298,"S2
(Ab control)"
19,18966.0,372.4512285141833,425.33586417800274,820.4685226194242,1226.60756089845,1649.7383739323,305,329,441,529,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1589219373824275,1.6189798362577454,1.0344262326745055,"S2
(Ab control)"
20,21820.0,432.2620531622365,679.5490834097159,854.0618240146655,1225.1093950504126,1620.5571494042163,350,598,523,772,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1384224680122217,1.6852674220612684,1.0331627951224234,"S2
(Ab control)"
21,20564.0,459.9164559424237,820.4272028788173,751.494553588796,1218.1710756662128,1627.3494456331453,368,734,551,892,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1431939767734218,1.482877765296212,1.0273115515703022,"S2
(Ab control)"
23,15519.0,466.623171596108,536.7101617372253,678.1076100264193,1202.7192473741866,1545.6640891810039,387,461,544,612,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.085810968018135,1.3380678443832752,1.0142806710853112,"S2
(Ab control)"
25,21692.0,510.3494836806196,402.0748663101604,865.1781762861884,1224.3106214272543,1645.6721371934354,438,301,580,523,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1560654535703745,1.7072026330829857,1.0324891710423973,"S2
(Ab control)"
29,23086.0,626.290825608594,793.4450316208957,753.6377891362731,1217.5919604955384,1641.15736810188,542,697,709,887,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1528938810197837,1.487106879564531,1.026823170491152,"S2
(Ab control)"
30,28694.0,619.2260402871681,575.0568760019517,797.6120094793337,1215.0541925141144,1571.5704328431032,546,446,700,701,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1040098718332965,1.5738784912569315,1.0246830126638975,"S2
(Ab control)"
31,23080.0,669.7620883882149,137.06161178509532,919.5247833622184,1228.085788561525,1641.7020363951474,587,42,743,233,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1532765041336293,1.8144414345719337,1.0356728558988317,"S2
(Ab control)"
34,18558.0,734.2739519344757,370.90742536911307,743.2694255846535,1205.7036318568812,1545.2555232244854,664,259,804,471,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.085523955206068,1.4666476284631353,1.0167974708309648,"S2
(Ab control)"
36,14278.0,828.6368539011066,240.57830228323294,842.368889200168,1204.3627959097912,1569.124036979969,751,173,899,307,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1022913073153664,1.6621944763364163,1.0156667131855717,"S2
(Ab control)"
37,27546.0,845.3051622740144,556.3884411529805,787.3664415886154,1225.9452552094679,1716.1246641980688,755,446,934,658,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.2055575308475004,1.553661545245248,1.033867695127068,"S2
(Ab control)"
39,11583.0,853.6595009928343,829.6491409824744,876.0518000518,1215.0981610981612,1558.4986618319952,787,775,919,889,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.0948271053870609,1.7286588829429743,1.0247200923772477,"S2
(Ab control)"
40,15038.0,883.1915813273041,360.3612847453119,810.2285543290332,1212.005452852773,1575.7431174358292,808,296,954,433,506.78118667365766,1185.7854355907625,1423.5112139290793,SampleSample2,S2,1.1069411340192885,1.59877393959137,1.022111940723026,"S2
(Ab control)"
3,18740.0,70.23415154749199,370.82897545357525,161.7289220917823,2241.0739594450374,2746.472038420491,8,267,138,493,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.9598920178332577,1.594769437064121,1.3992577561276367,"S3
(BirA only)"
4,20288.0,142.57970228706625,582.522772082019,147.875,11975.050226735017,12256.62435922713,56,504,229,662,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,8.746369856015315,1.45815929183046,7.4768536036741775,"S3
(BirA only)"
5,25741.0,172.966357173381,395.0362068295715,153.51656889786722,2621.8601841420304,3130.6059205159086,97,279,254,507,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,2.234011294769747,1.513789426125823,1.6370089807528925,"S3
(BirA only)"
6,22008.0,272.49995456197746,249.83446928389677,139.1759814612868,1512.3703653217012,2215.079789167575,186,159,362,337,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.5806886569105645,1.3723803926789462,0.9442776106943014,"S3
(BirA only)"
7,37285.0,356.1964865227303,420.47018908408205,122.48775647043047,1311.5297572750435,1623.1939385811988,229,323,489,518,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.1583168512613697,1.2078218781594234,0.8188789029139174,"S3
(BirA only)"
8,17224.0,322.3885856943799,686.9085578262889,141.2520901068277,7435.754528564793,8221.296446818393,249,616,408,753,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,5.866745794953321,1.3928523934386758,4.642656773064279,"S3
(BirA only)"
10,21415.0,398.0239084753677,136.08330609385945,148.42204062572964,1305.5896801307495,1620.1391547980388,294,49,505,230,101.41210279870673,1601.6162494943587,1401.3384479502245,SampleSample3,S3,1.1561369469080507,1.463553525956691,0.8151701011668264,"S3
(BirA only)"
