sample,nucleus_id,avi_ratio,biotin_ratio,bira_ratio
S2,1,1.6393625673214145,1.1677226845297528,1.0324158465632214
S2,2,1.4371275605290206,1.004597303008697,1.0002304368156012
S2,3,1.7616914927784648,1.1781175870489355,1.0548164342136102
S2,4,1.6762527963414637,1.1654042672319398,1.0293610111309226
S2,5,1.6583673460749342,1.2683725064274425,1.0567616917360134
S2,6,1.420021739145944,1.0740892835571196,1.025424993225498
S2,7,1.5632423971542189,1.4066628538131152,1.083760530166609
S2,8,1.7063275843561787,1.2771483419199654,1.0650316247745675
S2,9,1.4046376130642138,1.1084481567194606,1.0205606693961378
S2,10,1.4698523246025177,1.1308484171311026,1.023358381220955
S2,11,1.559609092333613,1.1763452473812381,1.0321216637707051
S2,12,1.6364967222178404,1.1285820659194161,1.0309195264416253
S2,13,1.3907254000107845,1.0124257354454542,1.0119091489885021
S2,14,1.4942705091099318,1.2375006363284016,1.0426447636293121
S2,15,1.5737831605250678,1.1983438623433096,1.0411094897802613
S2,16,1.5459195225765572,1.246092808771387,1.055289296415101
S2,17,1.606388020750586,1.2594085559807073,1.0496017473030552
S2,18,1.9509905747685603,1.3757630619978765,1.0712465507958298
S2,19,1.6189798362577454,1.1589219373824275,1.0344262326745055
S2,20,1.6852674220612684,1.1384224680122217,1.0331627951224234
S2,21,1.482877765296212,1.1431939767734218,1.0273115515703022
S2,22,1.354144167692304,1.1125201104020814,1.0213320415556468
S2,23,1.3380678443832752,1.085810968018135,1.0142806710853112
S2,24,1.5107544879255814,1.0833072968139879,1.020973990399325
S2,25,1.7072026330829857,1.1560654535703745,1.0324891710423973
S2,26,1.4092814769503825,1.5423730732640681,1.0777722626083641
S2,27,1.4934660662912602,1.0740690735528242,1.018727974251995
S2,28,1.824284800166373,1.22123942587203,1.0470696997399285
S2,29,1.487106879564531,1.1528938810197837,1.026823170491152
S2,30,1.5738784912569315,1.1040098718332965,1.0246830126638975
S2,31,1.8144414345719337,1.1532765041336293,1.0356728558988317
S2,32,1.534047936236823,1.0544281254565135,1.0221734671028628
S2,33,1.6272080696103495,1.083152323452072,1.025820866872141
S2,34,1.4666476284631353,1.085523955206068,1.0167974708309648
S2,35,1.3334706918246655,1.0346971834709304,1.00447435897093
S2,36,1.6621944763364163,1.1022913073153664,1.0156667131855717
S2,37,1.553661545245248,1.2055575308475004,1.033867695127068
S2,38,1.6358377161007662,1.066294522611959,1.0217421895803434
S2,39,1.7286588829429743,1.0948271053870609,1.0247200923772477
S2,40,1.59877393959137,1.1069411340192885,1.022111940723026
S2,41,1.4506837385673446,1.0584776256441135,1.0163485806204362
S2,42,1.505864489931335,1.0664033347719648,1.0176209317035725
S2,43,1.5570590506956408,1.1869578166883306,1.0308101846180597
S2,44,1.609578117996299,1.067942376520246,1.023817907902617
S2,45,1.612556613106576,1.087263327227143,1.02297569629273
S2,46,1.1577305445699764,1.0331978970865916,1.0086941859927325
S4,44,37.12680063484739,1.559398169712878,1.0752613593192715
S5,1,3.3593818353346045,1.083894233897727,1.0254137135186343
S5,2,3.0994419232929182,1.0539514590895784,1.0189305760521927
S5,3,3.3438382938546405,1.1191684637740351,1.0349984837662891
S5,4,3.152533504604433,1.0961313598687288,1.0271713480144045
S5,5,3.2890686470552435,1.0999384377145331,1.027864276623791
S5,6,3.539187431110609,1.1019080197411526,1.0327240170987408
S5,7,2.975557453844892,1.0968806498639732,1.0317208980800008
S5,8,3.8311364831724983,1.0911909391936403,1.0274627331152804
S5,9,3.1951256628945384,1.064292782164247,1.018923204336171
S6,2,76.89758783544234,22.30247462333589,8.370303512105133
