image,nucleus_id,avi_pixels_inside_nucleus,avi_pixels_outside_nucleus,total_avi_pixels,ratio_inside_to_outside,pct_avi_inside_nucleus
7_1,28,3916,6304,10220,0.6211928934010152,38.31702544031311
7_1,33,1508,4927,6435,0.30606860158311344,23.434343434343436
7_2,15,3935,5506,9441,0.714674900108972,41.679906789535
7_2,34,2458,2161,4619,1.137436372049977,53.214981597748434
7_3,13,3135,5852,8987,0.5357142857142857,34.883720930232556
7_3,17,1765,4340,6105,0.4066820276497696,28.91072891072891
7_4,7,364,4290,4654,0.08484848484848485,7.82122905027933
7_4,10,11132,3044,14176,3.657030223390276,78.52708803611738
7_4,22,3840,501,4341,7.664670658682635,88.4588804422944
7_5,3,5998,824,6822,7.279126213592233,87.92143066549399
7_5,14,2600,1994,4594,1.3039117352056169,56.5955594253374
