image,nucleus_id,n_in,n_out,pct_inside,ratio
7_1,29,1464,7643,16.07554628307895,0.19154782153604605
7_1,34,872,4932,15.024121295658167,0.17680454176804541
7_2,15,1427,6104,18.948346833089897,0.233781127129751
7_2,33,1889,2730,40.89629789997835,0.6919413919413919
7_3,13,1222,6257,16.339082765075545,0.1953012625859038
7_4,10,2779,7981,25.8271375464684,0.34820197970179173
7_4,11,3845,5067,43.14407540394973,0.7588316558121176
7_4,23,2305,2036,53.09836443215849,1.132121807465619
7_5,3,4583,2239,67.17971269422456,2.046895935685574
7_5,11,1098,3345,24.713031735313976,0.32825112107623317
7_6,11,3877,11600,25.050074303805648,0.3342241379310345
