image,nucleus_id,nucleus_size,cyto_size,cyto_status,avi_inside,avi_cytoplasm,avi_global_outside,ratio_local,ratio_global
7_1,28,12746,5780,ok,20570.1880589989,37438.66989619377,1191.8436871824129,0.5494369355544382,17.259132451863728
7_1,33,10307,4561,ok,7443.800426894343,36518.98202148652,1191.8436871824129,0.20383373289306547,6.245618034435301
7_2,15,20114,5438,ok,15149.218007358058,31394.82824567856,2194.3847372884406,0.4825386490032262,6.903628953452191
7_2,34,9208,1440,ok,15842.98251520417,36951.97430555556,2194.3847372884406,0.4287452243877061,7.219783407161791
7_3,13,8841,4354,ok,27771.40334803755,56171.59163987138,1908.87055117367,0.49440299869169135,14.548604844347507
7_3,17,2613,2780,ok,46234.535017221584,54682.92266187051,1908.87055117367,0.8455022659105264,24.22088548057607
7_4,7,3517,586,ok,11834.908160363946,54831.88566552901,1268.3157305223979,0.21583988981440705,9.331200327768029
7_4,10,30602,2430,ok,26507.587216521795,52640.3,1268.3157305223979,0.5035607171030901,20.899833202891653
7_4,22,36913,498,ok,14583.360929753746,37934.16465863454,1268.3157305223979,0.38443869954664456,11.49821024749658
7_5,3,14322,808,ok,20300.124842899037,33029.47524752475,572.8341226024315,0.6146063384528139,35.43805098529036
7_5,14,22989,1994,ok,10708.046065509592,26445.138415245736,572.8341226024315,0.4049154856885286,18.693100922239193
